Path,Physical,Source,Comment,Single-line comment,Block comment,Mixed,Empty
src/components/system/query-tool/index.ts,2,2,0,0,0,0,0
src/components/system/react-virtualized/virtualizedGridDemo.scss,12,10,2,2,0,0,0
src/components/system/react-virtualized/virtualizedGridDemo.tsx,31,26,1,1,0,1,5
src/components/system/treeView/treeView.tsx,20,14,0,0,0,0,6
src/components/system/toolbar/index.ts,1,1,0,0,0,0,0
src/components/system/toolbar/toolbar.scss,322,254,14,14,0,1,55
src/components/system/toolbar/toolbar.tsx,169,115,24,11,13,0,30
src/components/widgets/layout/AutoResizeComponent.tsx,42,33,0,0,0,0,9
src/components/widgets/layout/ResizeSensorComponent.tsx,41,29,2,2,0,0,10
src/components/widgets/layout/packeryComponent.scss,15,12,0,0,0,0,3
src/components/widgets/layout/packeryComponent.tsx,337,164,106,85,21,0,67
src/components/site/_parts/header/LoginButton.tsx,11,10,0,0,0,0,1
src/components/site/_parts/header/PageChooserMenu.scss,36,29,0,0,0,0,7
src/components/site/_parts/header/PageChooserMenu.tsx,95,77,8,6,2,2,12
src/components/site/_parts/header/ProductLogo.tsx,20,19,0,0,0,0,1
src/components/site/_parts/header/SearchBar.tsx,12,11,0,0,0,0,1
src/components/site/_parts/header/TitleBar.scss,23,18,1,1,0,1,5
src/components/site/_parts/header/TitleBar.tsx,27,21,0,0,0,0,6
src/components/site/_parts/header/index.ts,5,5,0,0,0,0,0
src/components/pages/vtt/components/definitionTree.tsx,215,189,6,6,0,2,22
src/components/system/contextMenu/themes/wunderlist.scss,35,29,0,0,0,0,6
src/components/system/pivot/caching/pivotCache_MemMap.ts,414,280,56,18,38,1,79
src/components/system/pivot/caching/pivotDataCache.ts,460,304,72,32,40,1,85
src/components/system/pivot/server/pivotServerSideCache.ts,165,136,10,10,0,0,19
src/components/system/pivot/components/columnAxesTable.tsx,209,157,9,9,0,0,43
src/components/system/pivot/components/detailCellsTable.tsx,89,70,0,0,0,0,19
src/components/system/pivot/components/pivotCorner.tsx,37,13,18,18,0,0,6
src/components/system/pivot/components/rowAxesTable.tsx,200,154,10,10,0,0,36
src/components/system/pivot/components/scrollTips.scss,72,55,4,4,0,0,13
src/components/system/pivot/components/scrollTips.tsx,299,245,12,12,0,1,43
src/components/system/pivot/internal/mouseOverScrollbarTooltipBehavior.tsx,337,229,38,32,6,0,71
src/components/system/pivot/internal/pivotArrangement.ts,120,88,9,5,4,0,23
src/components/system/pivot/internal/pivotContextMenu.tsx,239,160,45,4,41,6,40
src/components/system/pivot/internal/pivotDragAndDrop.ts,127,91,8,5,3,2,30
src/components/system/pivot/internal/pivotScrollHandler.tsx,271,163,51,45,6,2,60
src/components/system/highcharts/dataTemplates/boxTemplate.ts,42,37,0,0,0,0,5
src/components/system/highcharts/dataTemplates/cdfTemplate.ts,90,78,2,2,0,1,11
src/components/system/highcharts/dataTemplates/coneTemplate.ts,37,33,1,1,0,0,3
src/components/system/highcharts/dataTemplates/highchartDataTemplate.ts,175,141,9,4,5,2,27
src/components/system/highcharts/dataTemplates/histogramTemplate.ts,79,66,4,4,0,1,10
src/components/system/highcharts/dataTemplates/pdfTemplate.ts,58,51,2,2,0,1,6
src/components/system/highcharts/dataTemplates/percentileTemplate.ts,104,81,5,5,0,0,18
src/components/system/highcharts/dataTemplates/scatterTemplate.ts,288,199,45,38,7,1,45
src/components/system/highcharts/extenders/box.hc.extender.ts,234,152,38,16,22,2,46
src/components/system/highcharts/extenders/cdf.hc.extender.tsx,475,300,105,17,88,1,71
src/components/system/highcharts/extenders/density.hc.extender.tsx,239,170,38,5,33,0,31
src/components/system/highcharts/extenders/highchartsExtender.ts,1306,801,274,75,199,6,237
src/components/system/highcharts/extenders/histogram.hc.extender.ts,243,83,128,10,118,0,49
